排名,名称,链接,星级,评分,评价人数
235,东京物语,https://movie.douban.com/subject/1291568/,4.5,9.2,104841
236,无间道2,https://movie.douban.com/subject/1307106/,4.5,8.6,327718
237,千钧一发,https://movie.douban.com/subject/1300117/,4.5,8.8,206472
238,朗读者,https://movie.douban.com/subject/2213597/,4.5,8.6,390970
239,黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,4.5,8.6,300717
240,再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,4.5,8.6,340368
241,崖上的波妞,https://movie.douban.com/subject/1959877/,4.5,8.5,369748
242,驴得水,https://movie.douban.com/subject/25921812/,4,8.3,742657
243,我爱你,https://movie.douban.com/subject/5908478/,4.5,9.1,128452
244,猜火车,https://movie.douban.com/subject/1292528/,4.5,8.5,357501
245,浪潮,https://movie.douban.com/subject/2297265/,4.5,8.7,221219
246,聚焦,https://movie.douban.com/subject/25954475/,4.5,8.8,228694
247,小萝莉的猴神大叔,https://movie.douban.com/subject/26393561/,4,8.4,400233
248,追随,https://movie.douban.com/subject/1397546/,4.5,8.9,147903
249,黑鹰坠落,https://movie.douban.com/subject/1291824/,4.5,8.7,236498
250,网络谜踪,https://movie.douban.com/subject/27615441/,4.5,8.6,425530
